ID_num,TgroupID,GgroupID,sex,beak,thorax,wing,body,w_morph,recorder,computer,date_recorded_by_hand,data_recorded_on_excel,notes
475,NA,T1,F,6.29,3.69,7.81,11.22,S,A,yes,09.11.19,09.11.19,
268,NA,T2,F,8.44,3.73,10.20,14.00,L,A,yes,09.11.19,09.11.19,
261,NA,T3,F,8.44,3.68,9.57,13.21,S,A,yes,09.11.19,09.11.19,too big for microscope
261,NA,T3,F,8.55,3.56,9.49,13.13,S,A,no,09.17.19,09.17.19,
284,NA,T4,F,8.42,3.83,9.54,13.15,L,A,yes,09.11.19,09.11.19,
327,NA,T5,F,8.82,3.79,10.20,13.90,L,A,yes,09.11.19,09.11.19,
247,NA,T6,F,8.87,4.03,10.32,14.00,L,A,yes,09.11.19,09.11.19,
281,NA,T8,F,7.43,3.05,8.75,12.32,L,A,yes,09.11.19,09.11.19,
492,NA,T9,F,7.04,3.64,9.96,13.72,L,A,yes,09.11.19,09.11.19,
409,NA,T10,F,6.32,3.55,7.11,10.85,S,A,yes,09.11.19,09.11.19,
293,NA,T11,F,7.40,3.88,9.64,13.22,L,A,yes,09.11.19,09.11.19,
210,NA,T12,F,7.38,3.30,9.17,12.65,L,A,yes,09.11.19,09.11.19,
321,NA,T13,F,9.29,3.74,10.32,14.37,L,A,yes,09.11.19,09.11.19,too big for microscope
321,NA,T13,F,9.34,3.66,10.25,14.30,L,A,no,09.17.19,09.17.19,
346,NA,T14,F,7.50,3.76,10.38,14.10,L,A,yes,09.11.19,09.11.19,
330,NA,T15,F,7.93,3.56,9.59,13.11,L,A,yes,09.11.19,09.11.19,
216,NA,T16,F,7.57,3.52,8.15,11.69,L,A,yes,09.11.19,09.11.19,too big for microscope
273,NA,T18,F,8.63,3.95,9.89,13.68,L,A,yes,09.11.19,09.11.19,too big for microscope
273,NA,T18,F,8.58,3.92,9.71,13.72,L,A,no,09.17.19,09.17.19,
393,NA,T19,F,8.99,4.06,NA,NA,L,A,yes,09.11.19,09.11.19,
393,NA,T19,F,8.94,3.95,10.46,14.42,L,A,no,09.17.19,09.17.19,
417,NA,T20,F,6.18,3.41,5.64,8.70,S,A,yes,09.11.19,09.11.19,
212,NA,G1,F,6.86,3.63,7.19,10.94,S,A,yes,09.11.19,09.11.19,
213,NA,G2,F,6.90,3.71,7.16,11.16,S,A,yes,09.11.19,09.12.19,
221,NA,G3,F,7.23,4.11,9.89,14.11,L,A,yes,09.11.19,09.12.19,
230,NA,G4,F,6.62,3.82,6.45,10.23,L,A,yes,09.12.19,09.12.19,
252,NA,G6,F,6.61,3.63,6.43,10.12,S,A,yes,09.12.19,09.12.19,
253,NA,G7,F,8.16,4.11,10.29,13.93,L,A,yes,09.12.19,09.12.19,
259,NA,G8,F,8.04,4.06,10.06,13.79,L,A,yes,09.12.19,09.12.19,
304,NA,G9,F,8.48,3.82,10.17,14.05,L,A,yes,09.12.19,09.12.19,too big for microscope
304,NA,G9,F,8.49,3.75,10.10,13.92,L,A,no,09.17.19,09.17.19,
311,NA,G10,F,6.46,3.66,6.51,10.33,S,A,yes,09.12.19,09.12.19,
274,NA,G11,F,9.09,3.89,10.25,14.17,L,A,yes,09.12.19,09.12.19,too big for microscope
274,NA,G11,F,9.07,3.92,10.22,14.23,L,A,no,09.17.19,09.17.19,
249,NA,G12,F,8.59,3.85,10.20,13.98,L,A,yes,09.12.19,09.12.19,
255,NA,G13,F,8.49,3.98,10.54,14.33,L,A,yes,09.12.19,09.12.19,too big for microscope
255,NA,G13,F,8.70,3.95,10.22,14.23,L,A,no,09.17.19,09.17.19,
279,NA,G14,F,5.77,2.67,4.20,6.86,S,A,yes,09.12.19,09.12.19,
354,NA,G15,F,6.11,3.51,6.35,10.00,S,A,yes,09.12.19,09.12.19,
344,NA,G16,F,7.53,3.75,9.96,13.56,L,A,yes,09.12.19,09.12.19,
328,NA,G18,F,7.66,3.70,9.46,12.80,L,A,yes,09.12.19,09.12.19,
334,NA,G19,F,8.86,3.91,10.43,14.52,L,A,yes,09.12.19,09.12.19,too big for microscope
334,NA,G19,F,8.80,3.87,10.34,14.04,L,A,no,09.17.19,09.17.19,
320,NA,G20,F,8.56,3.64,9.46,13.00,L,A,yes,09.12.19,09.12.19,
323,NA,G21,F,8.45,3.78,9.96,13.27,L,A,yes,09.12.19,09.12.19,
332,NA,G22,F,8.90,3.85,10.38,13.96,L,A,yes,09.12.19,09.12.19,
217,NA,G23,F,8.34,3.81,10.15,13.91,L,A,yes,09.12.19,09.12.19,
217,NA,G23,F,8.40,3.70,10.21,13.92,L,A,no,09.17.19,09.17.19,
206,NA,G24,F,8.91,4.07,10.41,14.18,L,A,yes,09.12.19,09.12.19,
225,NA,G25,F,8.54,3.82,10.55,14.27,L,A,yes,09.12.19,09.12.19,too big for microscope
225,NA,G25,F,8.58,3.77,10.39,14.35,L,A,no,09.17.19,09.17.19,
209,NA,G26,F,7.51,3.62,9.51,13.24,L,A,yes,09.12.19,09.12.19,
234,NA,G27,F,8.77,3.72,9.68,14.21,L,A,yes,09.12.19,09.12.19,
234,NA,G27,F,9.27,3.80,10.58,14.74,L,A,no,09.17.19,09.17.19,
486,NA,G29,F,6.37,3.75,7.63,11.30,S,A,yes,09.12.19,09.12.19,
483,NA,G31,F,6.23,3.50,6.89,10.23,S,A,yes,09.13.19,09.13.19,
441,NA,G32,F,7.39,3.93,10.22,14.02,L,A,yes,09.13.19,09.13.19,
337,NA,G33,F,8.34,3.96,10.31,14.15,L,A,yes,09.13.19,09.13.19,
224,NA,G34,F,6.75,3.59,6.80,10.41,S,A,yes,09.13.19,09.13.19,
471,NA,G35,F,6.75,3.75,8.67,12.50,S,A,yes,09.13.19,09.13.19,
411,NA,G36,F,6.50,3.60,7.26,11.11,S,A,yes,09.13.19,09.13.19,
368,NA,G37,F,7.68,3.93,NA,NA,L,A,yes,09.13.19,09.13.19,too big for microscope
368,NA,G37,F,7.63,3.82,10.05,13.54,L,A,no,09.17.19,09.17.19,
480,NA,G38,F,6.38,3.73,7.68,11.29,S,A,yes,09.13.19,09.13.19,
398,NA,G39,F,8.60,3.89,10.18,13.98,L,A,yes,09.13.19,09.13.19,
434,NA,G40,F,7.46,3.82,10.42,14.21,L,A,yes,09.13.19,09.13.19,
428,NA,G41,F,6.27,3.39,5.55,9.26,S,A,yes,09.13.19,09.13.19,
369,NA,G42,F,7.71,3.77,10.05,13.81,L,A,yes,09.13.19,09.13.19,
440,NA,G43,F,6.57,3.48,6.16,9.70,S,A,yes,09.13.19,09.13.19,
465,NA,G44,F,6.62,3.48,6.85,10.57,S,A,yes,09.13.19,09.13.19,
396,NA,G45,F,9.24,3.95,10.58,14.21,L,A,yes,09.13.19,09.13.19,
443,NA,G46,F,7.24,3.85,9.95,13.68,L,A,yes,09.13.19,09.13.19,
493,NA,G47,F,7.52,3.78,10.25,13.89,L,A,yes,09.13.19,09.13.19,
415,NA,G48,F,6.51,3.53,5.63,8.95,S,A,yes,09.13.19,09.13.19,
444,NA,G49,F,6.29,3.54,6.94,10.76,S,A,yes,09.16.19,09.16.19,
504,NA,G50,F,6.68,3.53,9.05,12.45,L,A,yes,09.16.19,09.16.19,
397,NA,G51,F,7.75,3.65,9.87,13.51,L,A,yes,09.16.19,09.16.19,
439,NA,G52,F,7.22,3.83,9.89,13.31,L,A,yes,09.16.19,09.16.19,
373,NA,G53,F,6.73,3.58,7.83,11.36,S,A,yes,09.16.19,09.16.19,
450,NA,G54,F,6.18,3.21,6.37,9.68,S,A,yes,09.16.19,09.16.19,
491,NA,G55,F,7.84,3.91,10.30,13.57,L,A,yes,09.16.19,09.16.19,
498,NA,G56,F,6.45,3.69,5.75,9.57,S,A,yes,09.16.19,09.16.19,
374,NA,G57,F,6.56,3.60,7.61,10.85,S,A,yes,09.16.19,09.16.19,
401,NA,G58,F,8.29,3.65,9.81,13.47,L,A,yes,09.16.19,09.16.19,
404,NA,G59,F,7.15,3.84,9.36,12.88,L,A,yes,09.16.19,09.16.19,
457,NA,G61,F,7.03,3.65,9.42,12.60,L,A,yes,09.16.19,09.16.19,
484,NA,G61,F,7.83,3.94,10.32,14.01,L,A,yes,09.16.19,09.16.19,
513,NA,G62,F,6.82,3.42,9.20,11.88,L,A,yes,09.16.19,09.16.19,
447,NA,G63,F,6.74,3.57,7.21,10.73,S,A,yes,09.16.19,09.16.19,
372,NA,G64,F,7.48,3.85,10.29,13.44,L,A,yes,12.04.19,12.04.19,
501,NA,G65,F,8.07,3.84,10.19,13.12,L,A,yes,12.04.19,12.04.19,
482,NA,G66,F,6.00,3.34,7.23,10.50,S,A,yes,12.04.19,12.04.19,
509,NA,G67,F,7.29,3.51,9.66,12.55,L,A,yes,12.04.19,12.04.19,
499,NA,G68,F,6.96,3.56,7.87,10.90,L,A,yes,12.04.19,12.04.19,
238,NA,G1,M,6.00,3.43,8.89,12.02,L,A,yes,09.17.19,09.17.19,teal
220,NA,G1,M,6.40,3.60,9.53,12.99,L,A,yes,09.17.19,09.17.19,peach
200,NA,G2,M,5.82,3.44,7.32,11.84,S,A,yes,09.17.19,09.17.19,peach
224,NA,G2,M,6.35,3.38,8.91,12.12,L,A,yes,09.17.19,09.17.19,teal
202,NA,G3,M,5.45,3.37,5.37,7.88,S,A,yes,09.17.19,09.17.19,teal
205,NA,G3,M,5.97,3.48,9.03,12.40,L,A,yes,09.17.19,09.17.19,peach
222,NA,G4,M,6.02,3.47,8.88,12.02,L,A,yes,09.17.19,09.17.19,peach
211,NA,G4,M,6.41,3.20,8.83,12.05,L,A,yes,09.17.19,09.17.19,teal
271,NA,G5,M,6.15,3.34,9.29,12.66,L,A,yes,09.17.19,09.17.19,teal
292,NA,G5,M,5.50,3.25,8.88,12.14,L,A,yes,09.17.19,09.17.19,peach
251,NA,G5,M,5.50,3.16,8.13,11.61,L,A,yes,09.17.19,09.17.19,NA
267,NA,G6,M,6.01,3.28,8.80,12.20,L,A,yes,09.17.19,09.17.19,peach
275,NA,G6,M,6.37,3.50,9.00,12.55,L,A,yes,09.17.19,09.17.19,teal
257,NA,G7,M,5.45,3.24,5.16,8.56,S,A,yes,09.17.19,09.17.19,peach
266,NA,G7,M,6.32,3.31,8.96,12.49,L,A,yes,09.17.19,09.17.19,teal
248,NA,G8,M,6.07,3.16,8.77,12.18,L,A,yes,09.17.19,09.17.19,peach
